obd_id,obd_code,obd_description
1,P0001,Fuel Volume Regulator Control Circuit - Open
2,P0002,Fuel Volume Regulator Control Circuit - Range/Performance
3,P0003,Fuel Volume Regulator Control Circuit - Low
4,P0004,Fuel Volume Regulator Control Circuit - High
5,P0005,Fuel Shutoff Valve A Control Circuit - Open
6,P0006,Fuel Shutoff Valve A Control Circuit - Low
7,P0007,Fuel Shutoff Valve A Control Circuit - High
8,P0008,Engine Position System Performance Bank 1
9,P0009,Engine Position System Performance Bank 2
10,P000A,A Camshaft Position Slow Response Bank 1
11,P000B,B Camshaft Position Slow Response Bank 1
12,P000C,A Camshaft Position Slow Response Bank 2
13,P000D,B Camshaft Position Slow Response Bank 2
14,P0010,A Camshaft Position Actuator Circuit / Open Bank 1
15,P0011,A Camshaft Position Timing Over-Advanced or System Performance Bank 1
16,P0012,A Camshaft Position Timing Over-Retarded Bank 1
17,P0013,B Camshaft Position Actuator Circuit / Open Bank 1
18,P0014,B Camshaft Position Timing Over-Advanced or System Performance Bank 1
19,P0015,B Camshaft Position Timing Over-Retarded Bank 1
20,P0016,Crankshaft Position Camshaft Position Correlation Bank 1 Sensor A
21,P0017,Crankshaft Position Camshaft Position Correlation Bank 1 Sensor B
22,P0018,Crankshaft Position Camshaft Position Correlation Bank 2 Sensor A
23,P0019,Crankshaft Position Camshaft Position Correlation Bank 2 Sensor B
24,P0020,A Camshaft Position Actuator Circuit / Open Bank 2
25,P0021,A Camshaft Position Timing Over-Advanced or System Performance Bank 2
26,P0022,A Camshaft Position Timing Over-Retarded Bank 2
27,P0023,B Camshaft Position Actuator Circuit / Open Bank 2
28,P0024,B Camshaft Position Timing Over-Advanced or System Performance Bank 2
29,P0025,B Camshaft Position Timing Over-Retarded Bank 2
30,P0026,Intake Valve Control Solenoid Circuit Range/Performance Bank 1
31,P0027,Exhaust Valve Control Solenoid Circuit Range/Performance Bank 1
32,P0028,Intake Valve Control Solenoid Circuit Range/Performance Bank 2
33,P0029,Exhaust Valve Control Solenoid Circuit Range/Performance Bank 2
34,P0030,HO2S Heater Control Circuit Bank 1 Sensor 1
35,P0031,HO2S Heater Control Circuit Low Bank 1 Sensor 1
36,P0032,HO2S Heater Control Circuit High Bank 1 Sensor 1
37,P0033,Turbocharger/Supercharger Bypass Valve Control Circuit
38,P0034,Turbocharger/Supercharger Bypass Valve Control Circuit Low
39,P0035,Turbocharger/Supercharger Bypass Valve Control Circuit High
40,P0036,HO2S Heater Control Circuit Bank 1 Sensor 2
41,P0037,HO2S Heater Control Circuit Low Bank 1 Sensor 2
42,P0038,HO2S Heater Control Circuit High Bank 1 Sensor 2
43,P0039,Turbocharger/Supercharger Bypass Valve Control Circuit Range/Performance
44,P0040,O2 Sensor Signals Swapped Bank 1 Sensor 1/Bank 2 Sensor 1
45,P0041,O2 Sensor Signals Swapped Bank 1 Sensor 2/Bank 2 Sensor 2
46,P0042,HO2S Heater Control Circuit Bank 1 Sensor 3
47,P0043,HO2S Heater Control Circuit Low Bank 1 Sensor 3
48,P0044,HO2S Heater Control Circuit High Bank 1 Sensor 3
49,P0045,Turbocharger/Supercharger Boost Control Solenoid A Circuit/Open
50,P0046,Turbocharger/Supercharger Boost Control Solenoid A Circuit
51,P0047,Turbocharger/Supercharger Boost Control Solenoid A Circuit Low
52,P0048,Turbocharger/Supercharger Boost Control Solenoid A Circuit High
53,P0049,Turbocharger/Supercharger Turbine Overspeed
54,P004A,Turbocharger/Supercharger Boost Control Solenoid B Circuit / Open
55,P004B,Turbocharger/Supercharger Boost Control Solenoid B Circuit
56,P004C,Turbocharger/Supercharger Boost Control Solenoid B Circuit Low
57,P004D,Turbocharger/Supercharger Boost Control Solenoid B Circuit High
58,P004E,Turbocharger/Supercharger Boost Control Solenoid A Circuit Intermittent/Erratic
59,P004F,Turbocharger/Supercharger Boost Control Solenoid B Circuit Intermittent/Erratic
60,P0050,HO2S Heater Control Circuit Bank 2 Sensor 1
61,P0051,HO2S Heater Control Circuit Low Bank 2 Sensor 1
62,P0052,HO2S Heater Control Circuit High Bank 2 Sensor 1
63,P0053,HO2S Heater Resistance Bank 1 Sensor 1
64,P0054,HO2S Heater Resistance Bank 1 Sensor 2
65,P0055,HO2S Heater Resistance Bank 1 Sensor 3
66,P0056,HO2S Heater Control Circuit Bank 2 Sensor 2
67,P0057,HO2S Heater Control Circuit Low Bank 2 Sensor 2
68,P0058,HO2S Heater Control Circuit High Bank 2 Sensor 2
69,P0059,HO2S Heater Resistance Bank 2 Sensor 1
70,P0060,HO2S Heater Resistance Bank 2 Sensor 2
71,P0061,HO2S Heater Resistance Bank 2 Sensor 3
72,P0062,HO2S Heater Control Circuit Bank 2 Sensor 3
73,P0063,HO2S Heater Control Circuit Low Bank 2 Sensor 3
74,P0064,HO2S Heater Control Circuit High Bank 2 Sensor 3
75,P0065,Air Assisted Injector Control Range/Performance
76,P0066,Air Assisted Injector Control Circuit or Circuit Low
77,P0067,Air Assisted Injector Control Circuit High
78,P0068,MAP/MAF Throttle Position Correlation
79,P0069,Manifold Absolute Pressure Barometric Pressure Correlation
80,P006A,MAP Mass or Volume Air Flow Correlation
81,P006B,MAP Exhaust Pressure Correlation
82,P006C,MAP Turbocharger/Supercharger Inlet Pressure Correlation
83,P006D,Barometric Pressure Turbocharger/Supercharger Inlet Pressure Correlation
84,P0070,Ambient Air Temperature Sensor Circuit
85,P0071,Ambient Air Temperature Sensor Range/Performance
86,P0072,Ambient Air Temperature Sensor Circuit Low
87,P0073,Ambient Air Temperature Sensor Circuit High
88,P0074,Ambient Air Temperature Sensor Circuit Intermittent
89,P0075,Intake Valve Control Solenoid Circuit Bank 1
90,P0076,Intake Valve Control Solenoid Circuit Low Bank 1
91,P0077,Intake Valve Control Solenoid Circuit High Bank 1
92,P0078,Exhaust Valve Control Solenoid Circuit Bank 1
93,P0079,Exhaust Valve Control Solenoid Circuit Low Bank 1
94,P0080,Exhaust Valve Control Solenoid Circuit High Bank 1
95,P0081,Intake Valve Control Solenoid Circuit Bank 2
96,P0082,Intake Valve Control Solenoid Circuit Low Bank 2
97,P0083,Intake Valve Control Solenoid Circuit High Bank 2
98,P0084,Exhaust Valve Control Solenoid Circuit Bank 2
99,P0085,Exhaust Valve Control Solenoid Circuit Low Bank 2
100,P0086,Exhaust Valve Control Solenoid Circuit High Bank 2
101,P0087,Fuel Rail/System Pressure Too Low
102,P0088,Fuel Rail/System Pressure Too High
103,P0089,Fuel Pressure Regulator 1 Performance
104,P0090,Fuel Pressure Regulator 1 Control Circuit
105,P0091,Fuel Pressure Regulator 1 Control Circuit Low
106,P0092,Fuel Pressure Regulator 1 Control Circuit High
107,P0093,Fuel System Leak Detected Large Leak
108,P0094,Fuel System Leak Detected Small Leak
109,P0095,Intake Air Temperature Sensor 2 Circuit
110,P0096,Intake Air Temperature Sensor 2 Circuit Range/Performance
111,P0097,Intake Air Temperature Sensor 2 Circuit Low
112,P0098,Intake Air Temperature Sensor 2 Circuit High
113,P0099,Intake Air Temperature Sensor 2 Circuit Intermittent/Erratic
114,P009A,Intake Air Temperature / Ambient Air Temperature Correlation
115,P0100,Mass or Volume Air Flow A Circuit
116,P0101,Mass or Volume Air Flow A Circuit Range/Performance
117,P0102,Mass or Volume Air Flow A Circuit Low
118,P0103,Mass or Volume Air Flow A Circuit High
119,P0104,Mass or Volume Air Flow A Circuit Intermittent
120,P0105,Manifold Absolute Pressure/Barometric Pressure Circuit
121,P0106,Manifold Absolute Pressure/Barometric Pressure Circuit Range/Performance
122,P0107,Manifold Absolute Pressure/Barometric Pressure Circuit Low
123,P0108,Manifold Absolute Pressure/Barometric Pressure Circuit High
124,P0109,Manifold Absolute Pressure/Barometric Pressure Circuit Intermittent
125,P010A,Mass or Volume Air Flow B Circuit
126,P010B,Mass or Volume Air Flow B Circuit Range/Performance
127,P010C,Mass or Volume Air Flow B Circuit Low
128,P010D,Mass or Volume Air Flow B Circuit High
129,P010E,Mass or Volume Air Flow B Circuit Intermittent/Erratic
130,P010F,Mass or Volume Air Flow Sensor A/B Correlation
131,P0110,Intake Air Temperature Sensor 1 Circuit
132,P0111,Intake Air Temperature Sensor 1 Circuit Range/Performance
133,P0112,Intake Air Temperature Sensor 1 Circuit Low
134,P0113,Intake Air Temperature Sensor 1 Circuit High
135,P0114,Intake Air Temperature Sensor 1 Circuit Intermittent
136,P0115,Engine Coolant Temperature Sensor 1 Circuit
137,P0116,Engine Coolant Temperature Sensor 1 Circuit Range/Performance
138,P0117,Engine Coolant Temperature Sensor 1 Circuit Low
139,P0118,Engine Coolant Temperature Sensor 1 Circuit High
140,P0119,Engine Coolant Temperature Sensor 1 Circuit Intermittent
141,P011A,Engine Coolant Temperature Sensor 1/2 Correlation
142,P0120,Throttle/Pedal Position Sensor/Switch A Circuit
143,P0121,Throttle/Pedal Position Sensor/Switch A Circuit Range/Performance
144,P0122,Throttle/Pedal Position Sensor/Switch A Circuit Low
145,P0123,Throttle/Pedal Position Sensor/Switch A Circuit High
146,P0124,Throttle/Pedal Position Sensor/Switch A Circuit Intermittent
147,P0125,Insufficient Coolant Temperature for Closed Loop Fuel Control
148,P0126,Insufficient Coolant Temperature for Stable Operation
149,P0127,Intake Air Temperature Too High
150,P0128,Coolant Thermostat (Coolant Temperature Below Thermostat Regulating Temperature)
151,P0129,Barometric Pressure Too Low
152,P012A,Turbocharger/Supercharger Inlet Pressure Sensor Circuit
153,P012B,Turbocharger/Supercharger Inlet Pressure Sensor Circuit Range/Performance
154,P012C,Turbocharger/Supercharger Inlet Pressure Sensor Circuit Low
155,P012D,Turbocharger/Supercharger Inlet Pressure Sensor Circuit High
156,P012E,Turbocharger/Supercharger Inlet Pressure Sensor Circuit Intermittent/Erratic
157,P0130,O2 Sensor Circuit Bank 1 Sensor 1
158,P0131,O2 Sensor Circuit Low Voltage Bank 1 Sensor 1
159,P0132,O2 Sensor Circuit High Voltage Bank 1 Sensor 1
160,P0133,O2 Sensor Circuit Slow Response Bank 1 Sensor 1
161,P0134,O2 Sensor Circuit No Activity Detected Bank 1 Sensor 1
162,P0135,O2 Sensor Heater Circuit Bank 1 Sensor 1
163,P0136,O2 Sensor Circuit Bank 1 Sensor 2
164,P0137,O2 Sensor Circuit Low Voltage Bank 1 Sensor 2
165,P0138,O2 Sensor Circuit High Voltage Bank 1 Sensor 2
166,P0139,O2 Sensor Circuit Slow Response Bank 1 Sensor 2
167,P0140,O2 Sensor Circuit No Activity Detected Bank 1 Sensor 2
168,P0141,O2 Sensor Heater Circuit Bank 1 Sensor 2
169,P0142,O2 Sensor Circuit Bank 1 Sensor 3
170,P0143,O2 Sensor Circuit Low Voltage Bank 1 Sensor 3
171,P0144,O2 Sensor Circuit High Voltage Bank 1 Sensor 3
172,P0145,O2 Sensor Circuit Slow Response Bank 1 Sensor 3
173,P0146,O2 Sensor Circuit No Activity Detected Bank 1 Sensor 3
174,P0147,O2 Sensor Heater Circuit Bank 1 Sensor 3
175,P0148,Fuel Delivery Error
176,P0149,Fuel Timing Error
177,P0150,O2 Sensor Circuit Bank 2 Sensor 1
178,P0151,O2 Sensor Circuit Low Voltage Bank 2 Sensor 1
179,P0152,O2 Sensor Circuit High Voltage Bank 2 Sensor 1
180,P0153,O2 Sensor Circuit Slow Response Bank 2 Sensor 1
181,P0154,O2 Sensor Circuit No Activity Detected Bank 2 Sensor 1
182,P0155,O2 Sensor Heater Circuit Bank 2 Sensor 1
183,P0156,O2 Sensor Circuit Bank 2 Sensor 2
184,P0157,O2 Sensor Circuit Low Voltage Bank 2 Sensor 2
185,P0158,O2 Sensor Circuit High Voltage Bank 2 Sensor 2
186,P0159,O2 Sensor Circuit Slow Response Bank 2 Sensor 2
187,P0160,O2 Sensor Circuit No Activity Detected Bank 2 Sensor 2
188,P0161,O2 Sensor Heater Circuit Bank 2 Sensor 2
189,P0162,O2 Sensor Circuit Bank 2 Sensor 3
190,P0163,O2 Sensor Circuit Low Voltage Bank 2 Sensor 3
191,P0164,O2 Sensor Circuit High Voltage Bank 2 Sensor 3
192,P0165,O2 Sensor Circuit Slow Response Bank 2 Sensor 3
193,P0166,O2 Sensor Circuit No Activity Detected Bank 2 Sensor 3
194,P0167,O2 Sensor Heater Circuit Bank 2 Sensor 3
195,P0168,Fuel Temperature Too High
196,P0169,Incorrect Fuel Composition
197,P0170,Fuel Trim Bank 1
